time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-19T05:08:50.795Z,57.4457,-154.6242,17.1,2.5,ml,,,,0.76,ak,ak0196dyq8ei,2019-05-19T05:51:29.040Z,"40km WSW of Larsen Bay, Alaska",earthquake,,1.1,,,automatic,ak,ak
2019-05-19T04:19:55.493Z,29.6978,51.2385,10,4.2,mb,,85,6.473,0.95,us,us70003n5u,2019-05-19T05:08:25.040Z,"41km WNW of Kazerun, Iran",earthquake,4.6,1.9,0.104,26,reviewed,us,us
2019-05-19T04:00:32.222Z,62.2383,-151.9604,5.1,3,ml,,,,0.62,ak,ak0196dy31is,2019-05-19T04:57:47.040Z,"96km W of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-05-19T02:58:49.841Z,29.2446,-97.5641,5,2.5,mb_lg,,145,0.442,0.85,us,us70003n5e,2019-05-19T23:41:21.945Z,"19km E of Nixon, Texas",earthquake,3.2,2,0.104,24,reviewed,us,us
2019-05-19T01:23:29.130Z,-21.6713,169.8042,20,6.3,mww,,18,2.378,1.21,us,us70003n4z,2019-05-20T01:28:17.490Z,"199km E of Tadine, New Caledonia",earthquake,8.5,1.8,0.046,46,reviewed,us,us
2019-05-18T23:32:32.600Z,-20.154,-69.2867,106.21,4,mb,,57,0.125,0.42,us,us70003n4i,2019-05-19T00:23:52.698Z,"89km E of Iquique, Chile",earthquake,4.2,5.4,0.164,10,reviewed,us,us
2019-05-18T20:43:58.731Z,43.4132,-126.8546,10,4.2,mb,,182,1.922,0.94,us,us70003n3n,2019-05-19T03:24:22.178Z,"201km W of Bandon, Oregon",earthquake,7.8,2,0.082,41,reviewed,us,us
2019-05-18T20:35:31.220Z,-2.9256,129.9935,10,4.9,mb,,60,2.252,0.68,us,us70003n3j,2019-05-18T21:32:55.040Z,"127km ENE of Amahai, Indonesia",earthquake,6.7,1.9,0.051,122,reviewed,us,us
2019-05-18T20:25:43.241Z,46.2201,150.6956,115.98,4.4,mb,,185,5.519,0.51,us,us70003n3i,2019-05-18T22:02:58.040Z,"244km ENE of Kuril'sk, Russia",earthquake,13.4,10.7,0.1,29,reviewed,us,us
2019-05-18T17:56:24.750Z,43.3117,146.9234,48.95,4.5,mb,,167,3.065,0.5,us,us70003n2g,2019-05-18T20:52:49.040Z,"56km SSE of Shikotan, Russia",earthquake,9.5,8.3,0.055,97,reviewed,us,us
2019-05-18T17:56:12.891Z,35.1097,-95.392,15.23,2.5,mb_lg,,43,0.863,0.47,us,us70003n28,2019-05-18T20:26:39.040Z,"2km SW of Quinton, Oklahoma",earthquake,2.7,8.2,0.076,45,reviewed,us,us
2019-05-18T16:38:31.805Z,23.9882,122.2065,10,4.4,mb,,126,0.588,0.48,us,us70003n1l,2019-05-18T18:39:59.040Z,"61km E of Hualian, Taiwan",earthquake,3.8,1.5,0.241,5,reviewed,us,us
2019-05-18T16:29:59.815Z,31.6696,-104.3219,5,2.6,mb_lg,,69,0.361,0.23,us,us70003n1e,2019-05-18T18:36:52.040Z,"68km W of Mentone, Texas",earthquake,1.7,1.9,0.1,37,reviewed,us,us
2019-05-18T14:58:30.917Z,-5.2595,152.6744,10,5.1,mb,,122,1.177,1.16,us,us70003n15,2019-05-18T15:42:14.502Z,"96km SSW of Taron, Papua New Guinea",earthquake,9,1.9,0.095,36,reviewed,us,us
2019-05-18T14:51:28.870Z,37.428,-118.545,10.1,2.91,ml,37,69,0.07611,0.06,nc,nc73183581,2019-05-21T04:03:03.476Z,"5km ENE of Round Valley, CA",earthquake,0.23,0.77,0.228,10,reviewed,nc,nc
2019-05-18T12:16:56.830Z,19.1828,-68.5015,49,3.08,md,5,348,1.5635,0.23,pr,pr2019138005,2019-05-18T15:50:28.811Z,"61km ENE of Miches, Dominican Republic",earthquake,5.75,16.98,0.11,4,reviewed,pr,pr
2019-05-18T11:11:18.770Z,19.4155006,-155.6096649,-1.55,2.6,ml,41,50,0.02115,0.33,hv,hv70958086,2019-05-18T11:25:15.040Z,"26km NNW of Pahala, Hawaii",earthquake,0.44,0.65,2.46,27,automatic,hv,hv
2019-05-18T10:46:14.874Z,66.3043,-156.9496,0,2.5,ml,,,,0.95,ak,ak0196cee489,2019-05-18T11:07:34.040Z,"67km S of Kobuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-05-18T09:55:36.755Z,36.7015,-97.6645,5,3.6,mb_lg,,51,0.216,0.13,us,us70003mzp,2019-05-19T09:56:59.644Z,"13km SSE of Medford, Oklahoma",earthquake,1,1.8,0.044,137,reviewed,us,us
2019-05-18T08:28:31.590Z,36.6982,-97.692,7.66,2.5,mb_lg,,52,0.203,0.26,us,us70003myw,2019-05-19T04:48:39.040Z,"12km SSE of Medford, Oklahoma",earthquake,0.9,4.8,0.088,34,reviewed,us,us
2019-05-18T08:16:10.946Z,48.2527,154.4133,57.42,4.5,mb,,167,5.29,0.67,us,us70003mys,2019-05-18T10:18:29.040Z,"296km SSW of Severo-Kuril'sk, Russia",earthquake,11.6,9.5,0.08,45,reviewed,us,us
